ci 离
vmkg 松绑
vstg 鬆綁
wnxl 做客
ddhf 破解
nrym 周六
nrym 週六
wfxx 例行
ltfk 福建省
fjql 更能
vklr 右脚
vklm 右腳
ycwb 出貨
ycwb 出货
brtj 轉基因
krtj 转基因
xjdd 重磅
lwgd 股民
pkkn 黃牌
ppkn 黄牌
gqje 婴幼儿
yqnj 嬰幼兒
vklr 左脚
vklm 左腳
fxyv 受害者
cwbb 性价比
cwbb 性價比
srfm 中兴
srnx 中興
jfgg 现已
jpgg 現已
hfqf 解鎖
hfmf 解锁
rqmk 基金会
rqmf 基金會
wvme 债权人
wvme 債權人
wsvf 保本
jrwd 环境保护
jrwy 環境保護
kfxf 不一定
kckf 连线
bctl 連線
dndl 据称
drdl 據稱
wndd 伤势
wnrm 傷勢
dgyq 利润率
dgyq 利潤率
djyk 提請
djhk 提请
hwbw 事业单位
hwsw 事業單位
xlyq 重庆市
xnyq 重慶市
rknx 城管
kvwg 新任
bjjd 单日
ssjd 單日
pnld 警示
xltm 客队
xltb 客隊
dkbd 接入
vhqn 有色金属
vhqn 有色金屬
ynwy 調價
hnwm 调价
ydwx 峰值
jlnd 显示屏
jlnd 顯示屏
blkr 前瞻
fkle 当月
fdle 當月
dfry 拥堵
dyry 擁堵
wbjw 偏高
ddyb 磋商
wkkn 大牌
ffyv 愛好者
ffyv 爱好者
bmhf 总公司
tmhf 總公司
wrdl 毛利
mwfk 放到
ssnr 品类
ssnr 品類
ksys 不敗
ksgs 不败
fpyq 开市
mryq 開市
kjtk 助阵
kjtb 助陣
txri 院士
vdkg 身着
vdpy 身著
lwyl 应收
lwyl 應收
xpdl 审稿
xhdl 審稿
tvvi 随之
tvvi 隨之
gkgj 清洗
fwnr 天数
fwsx 天數
dksd 接手
yjsc 購物中心
gjsc 购物中心
xpcx 审慎
xhcx 審慎
hkbb 可比
pnwj 驚艶
nmxq 節後
pbyf 节后
bjvk 曾有
nswj 复印件
tswj 複印件
cmwg 历任
cdwg 歷任
tmly 险胜
ttlb 險勝
dsbd 摄入
dsbd 攝入
ybfo 商用
srtw 中欧
srtw 中歐
kntm 二級
knkm 二级
xfjw 富豪
bjwg 曾任
ysyq 賠率
gsyq 赔率
ypgy 反对派
ywgy 反對派
jdvk 盟友
bnxn 卫冕
xsxn 衛冕
tdld 路透社
kdfh 不利于
kdmw 不利於
ssvk 患有
phfk 带到
pffk 帶到
yvjd 考量
wfrh 倒地
gnjd 海量
pxdd 蓝宝石
pxdd 藍寶石
fdhh 党委书记
fdty 黨委書記
xnqj 內置
xnqj 内置
ywvk 設有
hwvk 设有
kvvk 意在
ysrr 賬面
gsrr 账面
ksfi 不一
cnyd 焦炭
phwb 对华
wgpp 對華
knhw 資費
knhw 资费
bcys 轉賬
kcgs 转账
xwxf 工作室
dlnr 和数
dlsx 和數
dtcy 持續性
dkcy 持续性
vpxj 权重
vpxj 權重
ppmv 叠加
vmmv 疊加
mvbc 駕車
mvkc 驾车
ksrl 还款
qjrl 還款
ypxw 反恐
bcvc 較長
kcjc 较长
mggt 人民法院
ghfk 湖北省
wksd 牵手
yqsd 牽手
jgxp 預選賽
jjxp 预选赛
dbkn 批次
wkxl 大額
wkxl 大额
mrbd 闖入
jrbd 闯入
tlfk 降到
vfnn 麥當勞
kfph 麦当劳
gfjq 沙特
jjkt 时间表
jmkt 時間表
dktl 外線
dkkf 外线
snvk 頗有
snvk 颇有
rrvy 面板
jwxl 高額
jwxl 高额
dktj 找回
qltl 鋒線
mlkf 锋线
dkxr 此項
dkxm 此项
vktx 走紅
vkkx 走红
wbfj 偏好
yyfk 山西省
dncy 季節性
dpcy 季节性
htxx 农行
wjxx 農行
tgkn 被盗
tggt 被盜
vmjd 略显
vmjd 略顯
dkfk 找不到
nmdd 迄今为止
nmdd 迄今為止
nmfd 迄今爲止
mqbc 公車
mqkc 公车
tnxx 建行
rhwm 地价
rhwy 地價
twgd 附注
twyd 附註
txme 被害人
wpdk 借此
pgdk 藉此
xfmd 富含
fpry 好莱坞
fprx 好萊塢
fdfy 常州
wrdl 大面积
wrdl 大面積
bkhd 前不久
tyfk 陕西省
tyfk 陝西省
drnm 末節
drpb 末节
hjwr 那时候
hjwr 那時候
bnld 卫视
xsld 衛視
pqnr 黃金週
pqnr 黄金周
hgqf 承銷
hgmf 承销
kvwb 新华
kvpp 新華
qjsr 击中
bcsr 擊中
cjtm 离队
cjtb 離隊
kcpw 斩获
bcwj 斬獲
srbn 中卫
srxs 中衛
hkfk 买到
qjfk 買到
pdmv 申办
pdkk 申辦
fdng 尚需
dmme 为人
dmme 為人
fmme 爲人
yfdj 后排
xqdj 後排
bcsd 車手
kcsd 车手
hwkv 农业部
wwkv 農業部
xmhw 很強
xmhw 很强
whkt 像素
bctw 轄區
kctw 辖区
ypxh 評審
hpxp 评审
gglw 已然
dgcj 撰文
xpph 宽带
xppf 寬帶
xhkt 卖给
rqtt 賣給
htkv 争端
ftkv 爭端
bdfh 飽受
kdfh 饱受
sgjf 变现
ytjp 變現
gnhf 海尔
gnfm 海爾
fjck 更快
ndmk 展会
ndmf 展會
pklw 药店
pllw 藥店
jddx 高科技
hcbl 写道
xnbl 寫道
vfvm 本田
cgla 原则上
cyla 原則上
mrmq 問及
jrmq 问及
hkwp 可供
fjyf 更要
mxkv 公安部
vcwn 長假
jcwn 长假
nglw 電廠
nqyf 年后
nqxq 年後
jdhk 日军
jdhb 日軍
ybqq 商鋪
ybmq 商铺
fjkx 开门红
mmtx 開門紅
pnyk 敬請
pnhk 敬请
gndl 淡季
vfkl 梅开二度
vmkl 梅開二度
bjmr 单个
sswt 單個
vlvp 标杆
vyvp 標杆
jwxf 敲定
phvk 带走
pfvk 帶走
lbyc 勝出
lyyc 胜出
phtm 带队
pftb 帶隊
msyq 命中率
djvk 未有
ldng 礼包
ldng 禮包
ksgg 不已
fhtk 受阻
dhbc 打車
dhkc 打车
cyll 售后服务
cxlj 售後服務
vgsk 核潛艇
vgsk 核潜艇
jdsr 日中
bdfo 飲用
kdfo 饮用
gmbd 涌入
gmbd 湧入
phkn 对冲
wggs 對沖
pgcr 落馬
pglr 落马
mwyf 既要
lsyf 旣要
vphf 权证
vpyg 權證
vlfp 戶型
blfp 户型
dlpk 拍戏
dlrl 拍戲
wlqs 備忘錄
lltn 备忘录
tryq 回報率
tdyq 回报率
yrtl 磨合
mkyq 分辨率
ylyq 收視率
ylyq 收视率
dqvk 摆在
dqvk 擺在
lwxd 飛往
hkxd 飞往
bcyc 轉出
kcyc 转出
ypbc 反轉
ypkc 反转
trbc 結轉
krkc 结转
xflb 完勝
xfly 完胜
gyyp 派发
gygh 派發
yykq 詬病
hykq 诟病
sfdl 另一种
sfdl 另一種
ypgy 評測
hpgg 评测
hdyf 将要
klyf 將要
kjkv 成龍
kjyg 成龙
yfly 后腰
xqly 後腰
kqvd 瘦身
mfyp 愈发
mfgh 愈發
dhrc 扎堆
xncy 刚性
xncy 剛性
fwwm 天价
fwwy 天價
nddl 犀利
jgfm 酸奶
vgmw 來源於
fgfh 来源于
dsfc 扭亏
dsrl 扭虧
fssn 互联
fssn 互聯
mwjd 即时
mwjd 即時
lsjd 卽時
qwmk 参会
qqmf 參會
ydsk 崩盘
ydsk 崩盤
rkxf 報案
dbxf 报案
gdmd 民企
kslw 还应
qjlw 還應
mvfj 加元
rkbw 報送
dbbw 报送
ghtk 涨跌
ghtk 漲跌
ycqj 出击
ycbc 出擊
kgqi 美金
wyfh 优于
wcmw 優於
rjkn 其二
wkbn 大卫
wkxs 大衛
ylfh 收受
bljd 前日
grxf 法案
njkn 爆冷
xnng 內需
xnng 内需
tbtb 編隊
kbtm 编队
kxfk 云南省
nxfk 雲南省
sksk 舰艇
sksk 艦艇
vdlj 身亡
pdfm 对外开放
wdmm 對外開放
fgyq 天津市
cvcy 战略性
svcy 戰略性
qcjd 銷售量
mcjd 销售量
vdyf 术后
xvxq 術後
lgbd 切入
psss 觀戰
pfcn 观战
yqwx 充值
rdkg 紧接着
qdkg 緊接着
qdpy 緊接著
hffh 以至于
hfmw 以至於
xlbd 攻入
fjvc 更長
fjjc 更长
knkj 动感
xjkj 動感
bwfh 关爱
mrfh 關愛
xjdj 得主
hxvn 写字楼
xxvs 寫字樓
wkfm 大举
wknc 大舉
kvwm 竞价
kvwy 競價
txps 縱觀
kmpf 纵观
vnkn 斥資
vnkn 斥资
pwnd 平局
dlbw 移送
ymsv 說過
ybsv 説過
hbhc 说过
kkck 春夏
hcck 过快
svck 過快
jyrj 高峰期
hnhn 翻番
hyvk 負有
hgvk 负有
hpqn 升幅
wfhk 便可
xndx 內控
xndx 内控
xfyn 微調
xfhn 微调
kyym 或者說
kyyb 或者説
kyhb 或者说
ksju 不予
hkfo 可用
sncj 剝離
tncj 剥离
ncyb 零售商
smtx 吸納
smkx 吸纳
qkdk 向外
qjkg 违纪
sjtg 違紀
mfrj 逾期
trcy 区域性
trcy 區域性
ybvw 商机
ybvq 商機
blxx 前行
bddj 入主
snfo 聘用
rnsv 监听
qnsn 監聽
fjjr 一时间
fjmr 一時間
bdys 入賬
bdgs 入账
kyyq 成都市
nlgp 燃油
ddyc 抛出
dyyc 拋出
djlw 透明度
nnnd 熒屏
phnd 荧屏
dhme 换人
dhme 換人
xdrl 韓劇
xdnd 韩剧
wpgi 供水
xhdc 卖掉
rqdc 賣掉
ndgp 屆滿
ndgp 届满
vkno 起火
dhls 打的
mjwb 全球化
jrsr 預留
jmsr 预留
tjcj 图文
tjcj 圖文
gkgn 清淡
xdso 突破口
gjkn 洗净
gjgf 洗淨
ddmf 热销
rmqf 熱銷
hfqi 奖学金
knqi 奬學金
knqi 獎學金
fglk 好消息
ynsx 发展中国家
gnsx 發展中國家
vfyq 杭州市
gyfk 江西省
yrkg 市场经济
yrtg 市場經濟
tqkn 紀錄片
ktkn 纪录片
ylrl 收款
vxbd 植入
fkmk 亚运会
fhmf 亞運會
jqpk 制药
jqpl 製藥
nqrf 克罗地亚
nqrf 克羅地亞
xffh 定于
xfmw 定於
rvfk 吉林省
vvyv 所有者
plvl 散戶
plbl 散户
lwmh 股份公司
wsmm 低谷
jdkv 量产
jdcj 量產
jdkv 量産
dwgd 投注
nwdl 營業稅
nwdl 營業税
pwdl 营业税
mmvn 办公楼
kmvs 辦公樓
cqwj 惨遭
cqwj 慘遭
mvwm 加价
mvwy 加價
htcy 系統性
hkcy 系统性
ypjv 发了
ghjv 發了
nnhb 營運
phkn 营运
ngkn 筹资
nrkn 籌資
hnnd 悉尼
xpbl 賽道
xpbl 赛道
whdl 何种
whdl 何種
fjws 更低
pdfd 共和党
pdfd 共和黨
gwwf 清华大学
gpwn 清華大學
djkf 排毒
xmvc 很長
xmjc 很长
tkwj 組件
kkwj 组件
tjbd 回饋
tjkd 回馈
lknn 自營
lkph 自营
fkxn 省內
fkxn 省内
twkj 区县
twkf 區縣
rjkr 期盼
djbf 摄影师
djlk 攝影師
ymyn 訪談
hmhn 访谈
tgtj 被困
dypw 扳平
tmnx 坠毁
tbnr 墜毀
tbnx 墜毁
clwj 原件
xxcy 真实性
xxcy 真實性
kwwp 不仅仅
kwwd 不僅僅
qhtx 参议院
qytx 參議院
hfwl 下一代
hnnr 悉数
hnsx 悉數
gdkn 异动
vmxj 異動
mwcr 施压
mwcj 施壓
fmwg 兴业
nxwg 興業
xkfk 得不到
ndxk 属实
ndxf 屬實
bcrn 轉而
kcrn 转而
xnmw 甲方
wswd 保住
jglw 配股
lbtm 自卫队
lxtb 自衛隊
tktj 跨国
tktj 跨國
qsla 台上
rsla 臺上
pmtn 共建
tkla 跟上
jhmk 理事会
jhmf 理事會
gclk 源自
pwqj 圣保罗
swqj 聖保羅
cjdb 这批
yvdb 這批
mgkv 加油站
lwsk 底盘
lwsk 底盤
jcql 高性能
dsnr 扣篮
dsnq 扣籃
xltm 攻防
wkvf 低成本
mkvl 会所
mfvl 會所
wkpk 大戏
wkrl 大戲
xjyq 南京市
ksnk 还算
qjnk 還算
kstj 成员国
kstj 成員國
glkn 激进
glcv 激進
kptn 意見書
kfhh 意见书
fkme 残疾人
fkme 殘疾人
wwxk 佩戴
trrn 納斯達克
krwn 纳斯达克
snkm 頗具
snkm 颇具
phcn 对战
wgss 對戰
gmkn 耗資
gmkn 耗资
njmb 简介
nmmb 簡介
wcrh 佔地
cnrh 占地
cjwr 这时候
yjwr 這時候
dhfj 打好
ttcy 綜合性
ktcy 综合性
pgvk 落在
fytw 开发区
mgtw 開發區
rjcn 基点
rjql 基點
fsxn 党中央
fsxn 黨中央
fhyc 受災
fhxn 受灾
hkxh 失衡
tmbn 防卫
tmxs 防衛
xvdl 里程
ttla 国际上
ttla 國際上
dymf 研討會
dhmk 研讨会
mgjr 人民日報
mgjd 人民日报
stdl 中紀委
skdl 中纪委
scvk 唯有
bybd 总收入
tybd 總收入
jwxn 高官
dknm 未成年人
jfyc 现出
jpyc 現出
dwws 投保
jyla 理論上
jhla 理论上
xknd 家居
dfdm 扭亏为盈
drdm 扭虧為盈
drfm 扭虧爲盈
mvnw 力克
mhxf 会议室
myxf 會議室
xhwd 守住
yptn 謀劃
hpkw 谋划
kvjd 新星
htdm 争抢
ftdm 爭搶
wtda 儘早
ndda 尽早
knrq 减去
gkrq 減去
fkpn 致敬
wffs 化学武器
wnfs 化學武器
hkbj 买单
qjss 買單
lwyd 唐山
nfjd 需求量
mgkj 禽流感
phkg 对着
wgkg 對着
wgpy 對著
vpgg 横梁
vpvg 橫樑
lfgd 督导
lfbl 督導
jxfk 辽宁省
wxfk 遼寧省
rnxg 监察
qnxg 監察
smnr 另类
smnr 另類
cjyd 离岸
cjyd 離岸
kvkn 新进
kvcv 新進
sbvh 中关村
smvh 中關村
ycld 出示
kvdl 部委
lwdl 股利
wkhd 大将
wkkl 大將
jdvc 最長
jdjc 最长
tmlk 防务
tmjh 防務
nrdb 周报
nrrk 週報
yxwy 計價
hxwm 计价
hkmw 买方
qjmw 買方
gnjv 沒了
gwjv 没了
kfvk 感兴趣
knvk 感興趣
qjbj 罚单
qjss 罰單
hdhb 以北
yfrh 后场
xqrj 後場
wvcn 休战
wvss 休戰
jddm 題為
jdfm 題爲
jddm 题为
vkwh 有何
dlrm 頹勢
dlrm 頽勢
dldd 颓势
vwpa 机电
vqng 機電
djlw 排序
fqfh 始于
fqmw 始於
skgh 看涨
skgh 看漲
vxxn 检察官
vxxn 檢察官
njkh 居高不下
dkmv 接力
jdha 时下
jdha 時下
xwtk 工作組
xwkk 工作组
hdkn 奖牌
klkn 奬牌
klkn 獎牌
jddb 时报
jdrk 時報
ldbf 禅师
ldlk 禪師
tlrj 終場
klrh 终场
dlss 利器
jdrk 晨報
jddb 晨报
bwxj 並重
bpxj 并重
swjf 羽毛球
jxdk 曼德拉
rjbc 基輔
rjkc 基辅
fdmk 常委会
fdmf 常委會
knkc 动辄
xjbc 動輒
txkn 紅牌
kxkn 红牌
tjvr 围棋
tjvr 圍棋
mqgg 公测
mqgy 公測
rkgs 坏账
ryys 壞賬
sddr 手持
dkhc 接过
dksv 接過
mqqj 公允
sffk 貴州省
sffk 贵州省
bcdc 輸掉
kcdc 输掉
kxkk 专案组
bxtk 專案組
gyph 派对
gywg 派對
bckg 較差
kckg 较差
csxh 售卖
csrq 售賣
djyc 排出
dsfk 搬到
mfbw 通关
mfmr 通關
njnd 管理局
csyc 售出
dbdm 拼抢
dbdm 拼搶
dytj 扳回
csyf 售后
csxq 售後
wfmk 便会
wfmf 便會
ddlw 垫底
rklw 墊底
ntqs 烟台
nyrs 煙臺
nqwp 年仅
nqwd 年僅
tgxf 綁定
kgxf 绑定
jxys 理賠
jxgs 理赔
qwgx 参演
qqgx 參演
tjcy 合理性
lmkv 腿部
ynvk 談起
hnvk 谈起
tjla 图上
tjla 圖上
bnvq 轟炸機
knvw 轰炸机
jkcj 逃离
jkcj 逃離
wjdq 停摆
wjdq 停擺
bjmv 单边
sslk 單邊
hbkv 背部
hkks 可不
gnxf 淡定
vvxp 禁賽
vvxp 禁赛
bchw 較弱
kchw 较弱
ndrn 尾声
ndrn 尾聲
fgyq 武汉市
fgyq 武漢市
lkhd 处以
rlhd 處以
mgtm 人民群众
mgtq 人民群眾
mgth 人民群衆
djjd 未果
fbwj 嫌犯
wpwb 供貨
wpwb 供货
rkwg 執業
ddwg 执业
pjpw 电子邮件
njxw 電子郵件
ttkv 国防部
ttkv 國防部
vlfk 标致
vytf 標緻
ypps 反觀
yppf 反观
cvsn 集聚
vyrj 有效期
lkvj 自查
kdfi 逐一
dlbc 乘車
dlkc 乘车
fxme 一家人
xfrh 征地
xfrh 徵地
mbyv 領導者
mgyv 领导者
hwwb 弱化
wkra 大巴
lrhf 卡塔尔
lrfm 卡塔爾
gdfd 民主党
gdfd 民主黨
cksr 心目中
twtj 附图
twtj 附圖
fkwk 光大
tmtk 群众路线
tqtt 群眾路線
thtt 群衆路線
wsbj 保单
wsss 保單
srdk 中止
wkwn 大作
wmrl 价款
wyrl 價款
jgpw 高水平
tkla 踏上
kqyv 目击者
kbyv 目擊者
tpss 路由器
mxvd 劲射
fyvd 勁射
lwwm 底价
lwwy 底價
knfl 动武
xjfl 動武
hwmw 強於
hwfh 强于
xjby 重塑
bkbd 卷入
dbbd 捲入
tmwm 限价
tmwy 限價
ywhk 生态系统
yqht 生態系統
fdfy 尚无
fdnp 尚無
pgkc 邮轮
xjbc 郵輪
wnmf 伤愈
wnmf 傷愈
hdfk 舌尖
ksyx 不計
kshx 不计
qlxl 黑客
frme 当地人
frme 當地人
fkfh 少于
fkmw 少於
wqwp 佛罗伦萨
wqwp 佛羅倫薩
bcbw 惠普
mjtw 全区
mjtw 全區
jvtj 日本国
jvtj 日本國
ycgx 巡演
mjlb 全勝
mjly 全胜
vmjw 极高
vjjw 極高
kvxr 立項
kvxm 立项
wyme 代言人
sntg 联袂
sntg 聯袂
kckf 暂缓
bctf 暫緩
bbdb 比拼
knhs 减免
gkhs 減免
vkfn 赶来
vkvv 趕來
wyjj 优选
wcgd 優選
vkxd 赶往
vkxd 趕往
gdbd 导入
blbd 導入
mwhk 方可
lwpg 应由
lwpg 應由
mdng 三包
fkhd 致辞
fkfm 致辭
dlvj 稽查
rhkd 场馆
rjbd 場館
hkjj 可选
hkgd 可選
hcbq 过半
svbq 過半
lkkj 自助
yjxl 交易額
yjxl 交易额
xrrh 宅基地
hkgx 军演
hbgx 軍演
vkxx 在行
pgys 落敗
pggs 落败
nwxl 營業額
pwxl 营业额
mhtx 众议院
qytx 眾議院
hytx 衆議院
yllw 試飛
hlhk 试飞
ckpt 集成电路
cknt 集成電路
tjrl 欠款
fkqx 小鎮
fkmx 小镇
djxl 主攻
mwwl 放貸
mwwl 放贷
ythk 摩納哥
ykhk 摩纳哥
nxmr 午間
nxjr 午间
dpvm 抽检
dpvt 抽檢
gsqn 波幅
dfdq 抓捕
fsgp 豆油
bcfk 轉到
kcfk 转到
vfxf 本案
hsrq 免去
kjkm 县级
kftm 縣級
jjsr 选中
gdsr 選中
qkgf 黑龍江省
qygf 黑龙江省
dvwb 多样化
dvwb 多樣化
twld 合作社
ggtl 契合
mxhh 通知书
mxtn 通知書
dyyc 撤出
xfwj 同学们
xnwm 同學們
ybmk 商会
ybmf 商會
vmhw 极强
vjhw 極強
srfp 中型
xfvm 安检
xfvt 安檢
dkvp 主动权
dxvp 主動權
vrsd 棋手
wpdd 供热
wprm 供熱
xkhf 戴尔
xkfm 戴爾
dkkg 拉美
ygml 生活方式
kxyq 成功率
dhxf 打完
htvk 争相
ftvk 爭相
yvme 发起人
gvme 發起人
kxlw 专卖店
brlw 專賣店
vfkv 本站
nbyl 火車票
nkyl 火车票
jxyc 理順
jxyc 理顺
wnwm 作价
wnwy 作價
sksk 舰船
sksk 艦船
gjkn 洗牌
bkcy 前瞻性
jwnw 毫克
dllk 秋冬
njhw 管理費
njhw 管理费
wfvp 使用权
wfvp 使用權
tlng 降雨
bcwk 車位
kcwk 车位
ycjk 出逃
lwrm 廊坊
blxt 前妻
knrh 专场
bcrj 專場
bwfw 前几天
bqfw 前幾天
phfh 莫过于
psmw 莫過於
hdtm 以防
tjmw 回放
cddt 馬拉多納
lddk 马拉多纳
bcsn 輕取
kcsn 轻取
kvdl 竞拍
kvdl 競拍
whfo 他用
dlrw 稀缺
ddvk 确有
ddvk 確有
nfjd 每小时
nfjd 每小時
dlvk 稍有
nwhl 笔试
ntyl 筆試
bfgi 飲用水
kfgi 饮用水
xhmw 卖方
rqmw 賣方
ycym 出訪
ychm 出访
vflw 本应
vflw 本應
mwql 既能
lsql 旣能
fsbs 副总
fstq 副總
srfw 中天
jdlc 显卡
jdlc 顯卡
tktj 組團
kktj 组团
hdfw 甜瓜
mgmf 愈演愈烈
pnmv 警力
hkxh 失守
flqb 毋庸置疑
stmg 中国人民
stmg 中國人民
wkmf 传销
wbqf 傳銷
ngdj 電氣
xnjg 甲醇
vkjw 超高
rtrs 吉隆坡
jdkg 最差
dxjd 委內瑞拉
dxjd 委内瑞拉
jjrd 选址
gdrd 選址
wkxk 夯实
wkxf 夯實
cxxv 馬德里
lxxv 马德里
ksmk 音乐会
klmf 音樂會
dmgd 为民
dmgd 為民
fmgd 爲民
kvdl 站稳
kvdl 站穩
qwsf 参拜
qqsf 參拜
kjxn 盛典
vdxk 身家
dlfo 租用
wbdd 华硕
ppdd 華碩
hrvw 装机
krvq 裝機
mdhb 領軍
mdhk 领军
rkfd 執掌
ddfd 执掌
rqqk 去向
bsql 总能
tqql 總能
nxwb 数字化
sxwb 數字化
qlgm 能耗
ghth 深陷
qxkn 銅牌
mxkn 铜牌
wfwh 偿付
wfwh 償付
cntg 战袍
sstg 戰袍
ldwn 視作
ldwn 视作
dmxj 为重
dmxj 為重
fmxj 爲重
mmcr 坐騎
mmlr 坐骑
dmxk 为宜
dmxk 為宜
fmxk 爲宜
nvjf 篮板球
nvjf 籃板球
pkkn 薪資
pkkn 薪资
wyjd 倒計時
whjd 倒计时
ysdl 貝利
gsdl 贝利
srwd 留住
wtfq 伊始
wfbd 倒入
bcfy 惠州
crhk 馬丁
lrhk 马丁
fpvw 开机
mrvq 開機
cmnq 历年
cdnq 歷年
jqvn 特質
jqyx 特质
hxng 迅雷
xkrk 空域
tnyn 約談
knhn 约谈
ybsr 商貿
ybsr 商贸
tjnd 困局
lmkv 脸部
ltkv 臉部
khkr 不可或缺
jjvw 先机
jjvq 先機
bdss 飾品
kdss 饰品
pmdd 蒋介石
pmdd 蔣介石
jrgg 环境污染
jrgg 環境汙染
jrgg 環境污染
blqj 前置
ksgk 不清
nlmf 烧钱
nrqk 燒錢
shdr 鄂尔多斯
sfdr 鄂爾多斯
vsvw 整机
vsvq 整機
klyq 秦皇岛
klxq 秦皇島
pplv 双赢
cclv 雙贏
hcws 过低
svws 過低
vffw 有一天
thvd 隐身
tfvd 隱身
xnrk 同城
kjyv 助教
ypfn 发来
ghvv 發來
ctlk 恰逢
tkxl 足額
tkxl 足额
wbyb 华商
ppyb 華商
ndnh 尾灯
ndng 尾燈
gqlf 浦东
gqvj 浦東
bbph 比对
bbwg 比對
dlvg 稽核
dlyl 稽覈
xyla 实质上
xvla 實質上
ptfk 甘肃省
ptfk 甘肅省
yftm 后防
xqtm 後防
ymwm 效仿
tgyf 紀要
kgyf 纪要
wkkj 大成
snqk 取向
bswx 总值
tqwx 總值
gsql 波黑
sffp 中小型
djpn 未見
djfn 未见
dhla 换上
dhla 換上
vycy 有效性
rjhg 坦承
dxql 多功能
nnbc 炮轟
nnkc 炮轰
fmwk 举债
ncwk 舉債
ksmv 不力
mwdj 企业主
mwdj 企業主
fkxl 小額
fkxl 小额
jgla 配上
gddl 法拉利
yxyq 西安市
jdwh 影像
mvtx 加納
mvkx 加纳
bstm 总队
tqtb 總隊
gpws 汉堡
gpws 漢堡
xfdl 征程
xjtm 重量級
xjkm 重量级
ttmh 跨国公司
ttmh 跨國公司
ydyd 崑山
jdyd 昆山
hdhk 我军
hdhb 我軍
cntm 战队
sstb 戰隊
tjxn 圈內
tjxn 圈内
qlyq 熊市
wbbd 併入
bpbd 并入
jvxr 亟待
lbyq 勝率
lyyq 胜率
jjdl 亨利
kjdj 不景气
kjdj 不景氣
mdbc 三輪
mdkc 三轮
bcvi 較之
kcvi 较之
wvvs 休整
dhfn 换来
dhvv 換來
jddl 暴利
lcjq 卡特
fswy 互信
ycwm 出厂价
ylwy 出廠價
lwlk 股息
xhcn 卖点
rqql 賣點
dvwb 私有化
dhkj 打成
gktl 清純
gkkl 清纯
mmjb 从严
xmss 從嚴
jjym 就是說
jjyb 就是説
jjhb 就是说
txgj 紅酒
kxgj 红酒
hfvc 司長
hfjc 司长
wnwm 估价
wnwy 估價
mwxx 放行
trbd 結餘
krmf 结余
ydwb 老齡化
ydwb 老龄化
rywb 城市化
bsxx 总行
tqxx 總行
cksk 驅逐艦
lksk 驱逐舰
hwxl 強攻
hwxl 强攻
qpjv 錯了
mpjv 错了
yckg 順差
yckg 顺差
hwvn 张杰
hwwd 張傑
kntw 专区
bctw 專區
kvcn 站点
kvql 站點
bjga 单刀
ssga 單刀
mfsk 通航
yvtn 都灵
yvng 都靈
mdfk 領到
mdfk 领到
djgf 排汙
djgf 排污
xftj 富国
xftj 富國
mrkr 問鼎
jrkr 问鼎
lshh 白皮书
lstn 白皮書
gpvw 游戏机
mrvq 遊戲機
fltk 政績
flkk 政绩
hqwm 那段
ypdm 評為
ypfm 評爲
hpdm 评为
vkhr 起色
knbd 进食
cvbd 進食
bwgn 並沒
bwgw 並没
bpgw 并没
tnwg 建筑业
tnwg 建築業
fjwr 到时候
fjwr 到時候
tjsn 国联
tjsn 國聯
mqjd 公映
vkhc 想过
vksv 想過
yjdl 讓利
hldl 让利
fplw 开店
mrlw 開店
dkbc 接軌
dkkc 接轨
bcmq 惠及
bckf 輪轂
kckk 轮毂
twhv 匮乏
twhv 匱乏
kctg 新世紀
kckg 新世纪
wpqk 借錢
wpmf 借钱
mwrl 放款
pkdl 戏称
rldl 戲稱
kspj 不菲
vkkj 有助
jdrj 暑期
bmrr 单方面
smrr 單方面
vkhw 超強
vkhw 超强
dfnw 捷克
whxp 大奖赛
wkxp 大奬賽
wkxp 大獎賽
ndkm 层级
ndtm 層級
bcxk 車載
kcxk 车载
gfkv 沙龍
gfyg 沙龙
yjyg 乌龙
xjkv 烏龍
nrhr 粉色
bjfh 曾于
bjmw 曾於
mmkg 人力資源
mmkg 人力资源
dgss 探测器
dgss 探測器
vyxp 友誼賽
vhxp 友谊赛
pmbk 芬兰
pmpm 芬蘭
pplm 双腿
cclm 雙腿
xntg 內褲
xntg 内裤
xntg 内褲
hwvd 引述
lhbl 肠道
ljbl 腸道
vpnd 权属
vpnd 權屬
hcxj 过得
svxj 過得
jfxw 现役
jpxw 現役
mvfy 加州
bldj 前排
pxnd 英尺
dlhy 稅負
dlhy 税負
dlhg 税负
rnxf 而定
srjw 中非
ykvv 請來
hkfn 请来
vcbx 長虹
jcbx 长虹
ytrj 訓練場
hkrh 训练场
mmch 办公厅
kmlw 辦公廳
bcfe 轉正
kcfe 转正
rjdd 基石
rnjq 监制
qnjq 監製
rrhr 封装
rrkr 封裝
xcdd 恐怖主义
xcdk 恐怖主義
tmxk 防空
vctl 長線
jckf 长线
lykv 腰部
vkss 右翼
yrss 魔咒
gxph 演艺
gxpr 演藝
tgjw 絕非
thjw 絶非
khjw 绝非
ldmf 神勇
dpdl 搭乘
vmxp 枪支
vmxp 槍支
wktj 夺回
wktj 奪回
bldh 首播
mdjd 今晨
dywh 拨付
dgwh 撥付
dmdk 为名
dmdk 為名
fmdk 爲名
xxmf 南通
wbvk 伴有
lwdj 底气
lwdj 底氣
blkn 前次
wpvw 借机
pgvq 藉機
kvla 牀上
