#空格简
b 现在
fxff 栋梁之材
ffff 棟樑之材
sbtp 唯物
xyjq 清寒
prfr 綿亙
mrfl 绵亘
fmdn 背地
lfhg 辞赋
ptqg 辭賦
prcw 駁雜
jrry 驳杂
chfx 碗柜
chfx 碗櫃
mwsh 重听
mwgj 重聽
jkdd 徒有其名
fjkj 开卷有益
tjkj 開卷有益
dlpp 塵緣
nsmp 尘缘
fxrj 画架
mfrj 畫架
bjlk 三昧
gjgy 衷情
gjhs 耳孔
qnbn 退席
dgfd 军棋
dtfd 軍棋
tdyt 詩選
kdtm 诗选
plth 編訂
mlkh 编订
nsvp 小篆
gygy 怏怏
bjyc 胡麻
ffly 两天晒网
fflp 兩天曬網
khws 不可企及
qnqt 花茎
qnqf 花莖
xfmt 浅红
xdpt 淺紅
xxjx 清汤寡水
xxjx 清湯寡水
krkk 有胆有识
krkt 有膽有識
lfxm 甜水
vvgg 端端正正
skfg 以身殉职
skfg 以身殉職
nwja 偷生
jkmr 尊長
jkjr 尊长
qhpx 草雞
qhqx 草鸡
rdpu 脚爪
rppu 腳爪
tmgj 阶级性
tpgj 階級性
ycqk 母夜叉
ltbn 鑽床
ltyy 鑽牀
wpbn 钻床
vvkj 简谱
vttj 簡譜
vlff 复本
jwff 複本
phgq 驕兵必敗
jhgh 骄兵必败
nfxb 飛渡
svxb 飞渡
sfgh 吃一堑
sfth 吃一塹
sfth 喫一塹
vhcy 灯市
vgcy 燈市
wytp 币制
jytp 幣制
vknd 新文学
vkcc 新文學
njrm 瞧得起
knbn 身价百倍
knbn 身價百倍
lfrr 扁桃腺
chlq 兇暴
chlq 凶暴
pnvk 猴头
pnfs 猴頭
xhvk 河运
xhdt 河運
nwfa 眨巴
tjhs 譜子
kjhs 谱子
jwgk 襟怀
jwgc 襟懷
jlpv 穷鬼
jlpv 窮鬼
cxyd 玄虚
cxyd 玄虛
xrhg 满腔热忱
xrdg 滿腔熱忱
tjmv 討饒
kjjv 讨饶
dknr 久仰
jclx 福如东海
jcfx 福如東海
skqx 疏落
jnyf 判罪
ysyw 凹面
mqjb 返祖
kfyt 歧异
kfxk 歧異
jbdn 官名
sbhn 吹胡子瞪眼
smhn 吹鬍子瞪眼
klsl 病弱
qpmc 恭順
qpmc 恭顺
kjpt 不容分說
kjpt 不容分説
kjpk 不容分说
dstj 场院
dltj 場院
nsxh 風吹浪打
nsxh 风吹浪打
pfcx 綠林好漢
mfcx 绿林好汉
bhfx 壁柜
bhfx 壁櫃
ydya 螟虫
ydyy 螟蟲
ynfv 面目一新
sxbh 鄂温克族
sxbh 鄂溫克族
jwjw 褴褛
jwjw 襤褸
qmnb 荒僻
bnyf 床罩
yyyf 牀罩
ctlm 回車鍵
cgwm 回车键
qxxv 落潮
tmmd 先世
nwpj 代人受过
nwpg 代人受過
fqhw 根毛
jpxx 曾經滄海
jmxx 曾经沧海
sskb 响雷
mwkb 響雷
clck 妒嫉
lbdd 金玉其外
wjfj 自成一家
jrhs 徒孙
jrhs 徒孫
fchh 攀折
hfhb 搖頭擺尾
hvhb 摇头摆尾
hfhb 摇頭擺尾
fmnf 楷体
fmgp 楷體
prfr 馬棚
jrfr 马棚
nwvj 瞎闹
nwtj 瞎鬧
hftj 歌譜
hfkj 歌谱
cprb 六腑
vhpg 立約
vhmg 立约
tjtl 問寒問暖
vjvl 问寒问暖
qdrj 劳驾
vvrj 勞駕
fjfk 一定之規
fjfk 一定之规
gfrn 悚然
ngjg 修心养性
ngjg 修心養性
flkf 武夫
nvnl 传代
ntnl 傳代
pfdk 練達
mllw 练达
jjjl 师道尊严
rjjs 師道尊嚴
ppdp 猩紅熱
pmhr 猩红热
tnsw 諷喻
knsw 讽喻
ffkt 桃李不言
bnkg 序文
bjtg 胡謅
bjkd 胡诌
kkpr 羊皮紙
kkmr 羊皮纸
xfly 滔天大罪
vnfj 冷眼相待
nvqg 倒栽葱
nvqs 倒栽蔥
tsxb 詞源
ksxb 词源
xqvj 满门
xqtj 滿門
jdth 宛轉
jdgh 宛转
sjfd 忠烈
cxsn 玄奥
cxsn 玄奧
vkxk 凝思
ndky 凤冠霞帔
ndky 鳳冠霞帔
lrxc 明澈
rhrn 岿然
rhrn 巋然
cpvc 奸笑
vklf 烦乱
vbpt 煩亂
frfn 一脈相傳
frfn 一脉相传
frfn 一脉相傳
ftdt 格物致知
flvh 元音
vhpx 童子雞
vhqx 童子鸡
fnhw 相托
hhjh 拆字
bwjy 三人成虎
vckb 烟霞
vkkb 煙霞
mgqc 合欢
mgqs 合歡
lcvj 气闷
lctj 氣悶
jhrs 害臊
xkwk 酒令
jfqd 福无双至
jvbd 福無雙至
hvkp 孤魂野鬼
kcsg 各別
kcsr 各别
flft 形影相随
flft 形影相隨
tkqm 随带
tkqf 隨帶
cpkm 奸雄
pjxk 縮略
mjxk 缩略
pjmf 組畫
mjfx 组画
pgxk 約略
mgxk 约略
njdn 倏地
lpvc 旱烟
lpqh 旱菸
vhfx 立柜
vhfx 立櫃
hthd 近朱者赤
rmqg 追贈
rmhg 追赠
sldf 弱冠
lslj 切中时弊
lslj 切中時弊
wwxk 从略
jwxk 從略
fcbh 校尉
ndjl 学究
ccjl 學究
jkxd 成文法
jwlw 褫夺
jwlw 褫奪
kmhx 雄兵
vkdj 进款
bldj 進款
dfkk 冥頑不靈
dfkm 冥顽不灵
vktn 冲积
xstn 沖積
qfcl 鸚鵡學舌
hfnl 鹦鹉学舌
lrwk 顧念
blwk 顾念
njtd 伴讀
njkv 伴读
tfmd 隔世
nkjl 使不得
lvbh 鐵臂
wwbh 铁臂
wkvd 自裁
yvrn 幡然
twlf 通敌
twcj 通敵
kglf 离题
kglf 離題
pkkl 狼疮
pkkl 狼瘡
pdkx 纖塵不染
mnkx 纤尘不染
slhs 弹子
slhs 彈子
dktm 地主阶级
dktp 地主階級
dldl 冥冥
yvvr 青云直上
ykvr 青雲直上
qrww 苏铁
qwlv 蘇鐵
jtxk 生物界
dmgl 急变
dmtp 急變
ffqq 枯枝敗葉
ffhs 枯枝败叶
rlgj 昏聩
rlgj 昏聵
lssq 乱哄哄
pssq 亂哄哄
pvch 电码
kbch 電碼
gygh 悱恻
gygq 悱惻
cktj 圈閱
cktj 圈閲
ckvj 圈阅
dncb 地衣
lskf 断语
xytf 斷語
yymc 蟲災
xmyj 水蛇
flqf 天葬
tjtj 門閥
vjvj 门阀
ktdg 不謀其政
kkdg 不谋其政
tfls 語料
kfls 语料
llqj 晨鐘暮鼓
lwqj 晨钟暮鼓
gcch 丹砂
ptxv 紅潮
mtxv 红潮
khrs 不可勝數
khrl 不可胜数
ndyv 手巾
tlkg 阳文
tlkg 陽文
ltye 頓足
ltye 顿足
klkf 病夫
tqgg 講習
kvgu 讲习
rlqn 昏花
wrxl 瓦匠
fmbj 板胡
tkgd 言为心声
tkgd 言為心聲
tpgd 言爲心聲
snkf 鄂伦春
snkf 鄂倫春
jbyf 官署
bmkv 迟疑不决
bmkx 遲疑不決
sffy 別樹一幟
sffy 别树一帜
sffy 别樹一幟
dstj 逸聞
dsvj 逸闻
lvqt 暗箭难防
lvqt 暗箭難防
lmlj 旷世奇才
lmlj 曠世奇才
vqkq 云蒸霞蔚
kqkq 雲蒸霞蔚
jdrn 宛然
lwvj 爽直
qnxl 花匠
lhxt 奇技淫巧
tgfs 軟骨頭
ggvk 软骨头
tqqy 悶葫蘆
vqql 闷葫芦
hlch 揭破
httw 控制論
htkw 控制论
fmlj 背时
fmld 背時
pdpr 絨線
mdmf 绒线
ddnw 志士仁人
tjtx 知彼知己
pfqj 战刀
ssqj 戰刀
dxcr 執法如山
hxcr 执法如山
xrlx 江山易改
vltn 复种
jwtn 複種
dgjf 军徽
dtjf 軍徽
ltck 最惠国
ltck 最惠國
xkcq 洋奴
sxso 吊胃口
qcvj 欢闹
qstj 歡鬧
lqnq 刻苦耐劳
lqnv 刻苦耐勞
mmqq 重重叠叠
mmxx 重重疊疊
kxsl 不畏強暴
kxsl 不畏强暴
cbdn 媚外
bmfl 壁垒森严
bxfs 壁壘森嚴
sbsv 嘎吱
fmvh 五音
mmlf 比量
wyds 血象
dbkf 声频
dbkf 聲頻
cshs 奶子
tspq 詞綴
ksmq 词缀
flnv 核仁
mcvn 災年
jvvn 灾年
pkcr 貧病交加
pkcr 贫病交加
bdfm 三角板
vrhs 直肠子
vrhs 直腸子
bhnw 眉睫
nwye 鼎足
hwjy 下自成蹊
fhpt 一般見識
fhjk 一般见识
bcnt 丟卒保車
rcnt 丢卒保車
rcng 丢卒保车
hdls 老粗
ypyh 蜉蝣
pwns 纖小
mmns 纤小
hpvj 毛細管
hmvj 毛细管
gphw 毫毛
vlll 焊錫
vlwl 焊锡
vjls 筛糠
vrls 篩糠
jwhs 褂子
lfjj 辞行
ptjj 辭行
ghky 豪放不羁
ghky 豪放不羈
vhrj 笔力
vmrj 筆力
cnks 欠身
jvff 蚀本
mvff 蝕本
vhtl 端阳
vhtl 端陽
vhkq 笔友
vmkq 筆友
tych 譯碼
kqch 译码
lvvc 暗笑
sxgm 呕心
sxgm 嘔心
wkvc 失笑
xrpm 满腹狐疑
xrpm 滿腹狐疑
jjdf 行色
ccts 禀告
ccts 稟告
pnhs 緞子
mnhs 缎子
vhfa 乾巴
pxfa 干巴
jdfp 归去来兮
rdmp 歸去來兮
shkf 叫春
chhs 码子
chhs 碼子
hvth 舟車
hvgh 舟车
xldg 匪军
xldt 匪軍
bhqc 尽欢
mfqs 盡歡
tfsf 降格以求
msqr 鳥獸散
xjqr 鸟兽散
bnnf 鷹犬
bnnf 鹰犬
jhjc 半老徐娘
ccmw 娇纵
ccpj 嬌縱
jqfm 剪貼板
jhfm 剪贴板
nlkl 当断不断
nxkx 當斷不斷
ckfd 国殇
ckfd 國殤
xkqg 洋財
xkhg 洋财
lvvq 暖烘烘
lvdn 明火執仗
lvhn 明火执仗
ydts 虚詞
ydks 虚词
ydts 虛詞
hrkc 指腹为婚
hrkc 指腹為婚
hrpc 指腹爲婚
ryss 杂品
cwss 雜品
fpgk 松快
mtgk 鬆快
qrds 劝勉
qsds 勸勉
hgya 可怜虫
hgyy 可憐蟲
gjsg 衷曲
fdri 残月
fdri 殘月
prvf 驅策
jrvf 驱策
sjsh 噗嗤
tqkr 轉敗為勝
tqpr 轉敗爲勝
ghkr 转败为胜
mnbm 千依百順
mnbm 千依百顺
blrl 压服
blrl 壓服
bnkv 应许
bntv 應許
skns 嘴尖
ghgu 熟习
ghgg 熟習
gvcl 惜墨如金
tpym 牛虻
tdsn 諢號
kdsn 诨号
hdkf 方步
ltkt 切齒
ltkf 切齿
fdqx 一触即溃
fdqx 一觸即潰
fdrx 一觸卽潰
vsnh 冲口而出
jsnh 衝口而出
qjhx 刀兵
ykqd 面有难色
ykqd 面有難色
flkq 天良
lsfh 气味相投
lsfh 氣味相投
vhrj 笔架
vmrj 筆架
pghx 申斥
kjtg 不徇私情
fmfd 本乡本土
fmfd 本鄉本土
clkm 恩断义绝
cxkp 恩斷義絕
cxkp 恩斷義絶
hfjb 頂禮
hfjb 顶礼
gyvj 包管
slkj 唱票
sjwb 吃穿用度
sjwb 喫穿用度
gmns 心尖
nlsg 僱農
lrdb 雇农
kcfm 有始无终
kcvp 有始無終
dmmb 名垂千古
kgxl 皮匠
lsrf 粪肥
lsrf 糞肥
rnss 帛书
rnmf 帛書
yssn 冒号
yssn 冒號
mvsf 飽嗝
jvsf 饱嗝
fqsn 根号
fqsn 根號
ddnr 冤仇
fnfn 李代桃僵
gyrn 惘然
wkkq 令郎
lcql 欽慕
wcql 钦慕
pkpy 絡繹
mkmq 络绎
llvk 大舌头
llfs 大舌頭
nwlr 矍鑠
nwwr 矍铄
sqph 喷薄欲出
sqph 噴薄欲出
ffgl 禁脔
fftp 禁臠
jqjf 寒微
rrjl 胳肢窝
rrjl 胳肢窩
tgkk 功高震主
kxrn 未然
qvyc 黃麻
qpyc 黄麻
ltlt 大智大勇
qrqy 藤萝
qrqy 藤蘿
fdpv 死鬼
hxhs 老婆子
kfgy 春情
hfff 歌本
thlr 軒昂
ghlr 轩昂
xtlc 浩气
xtlc 浩氣
jhfq 字模
xqyt 汉民
xqyt 漢民
lfdn 旦夕
nmjb 州官
qhbh 草屋
kvfd 灰浆
kvyy 灰漿
lwwf 奔命
dlgl 吉星高照
pmcb 馬革裹屍
jmcb 马革裹尸
gskf 心口不一
sgyw 曲牌
lsls 糟糠
qrvj 恭賀新禧
qrvj 恭贺新禧
ptdg 紅壤
mtdg 红壤
rnpw 脑袋瓜
rnpw 腦袋瓜
hdls 族类
hdls 族類
rwwj 胖乎乎
ywhs 蛾子
sbsh 咕嘟
pwhs 鷂子
pwhs 鹞子
xxxk 潛泳
xkxk 潜泳
dhdf 基色
phpy 猪猡
tkpy 豬玀
kpcp 不絕如縷
kpcp 不絶如縷
kmcm 不绝如缕
dcxw 声如洪钟
dcxl 聲如洪鐘
vyyd 笑面虎
rfkl 肺痨
rfkl 肺癆
pddk 受戒
sgff 曲柄
nhlt 手提式
gmdv 惨境
gmdv 慘境
cpnv 奸佞
pvgp 編年體
mvnf 编年体
kqjc 不落窠臼
rvlg 肥头大耳
rflg 肥頭大耳
qqrh 花花肠子
qqrh 花花腸子
vhfd 灯盏
vgdk 燈盞
bjjl 故旧
bjqb 故舊
pfdd 卜卦
rgxm 山高水長
rgxj 山高水长
kfsv 奉天承运
kfsd 奉天承運
qgkf 敬奉
pvhj 終南捷徑
mvhj 终南捷径
tnvs 頹喪
tnvs 頽喪
tnvj 颓丧
jllb 空暇
bpfn 三綱五常
bmfn 三纲五常
yymv 毒餌
yyjv 毒饵
grrj 慢腾腾
grrj 慢騰騰
nmkq 貨郎
nmkq 货郎
vhhg 章则
vhqg 章則
qbdf 难色
qfdf 難色
phth 紡車
mhgh 纺车
ybxv 悲泣
tnti 巧言
jlpn 窗紗
jlmn 窗纱
prmt 馬鬃
jrmt 马鬃
fctj 校閱
fctj 校閲
fcvj 校阅
qgdt 敗軍
hgdg 败军
vyfd 南无
vyvq 南無
qhjf 黃毛丫頭
qhjv 黄毛丫头
lbfa 翘尾巴
dbfa 翹尾巴
mcss 災患
jvss 灾患
fvrf 死乞白賴
fvrf 死乞白赖
qcds 敗絮其中
hcds 败絮其中
xkgl 思恋
xktp 思戀
npjn 仆役
njjn 僕役
nmmc 低能儿
nmcm 低能兒
kxtk 永訣
kxkk 永诀
bjfj 席卷一空
bhfj 席捲一空
pmpp 繅絲
mmmm 缫丝
tmtg 諧調
kmkg 谐调
tjkv 除旧布新
tqnv 除舊佈新
nyfk 何罪之有
vjsp 卖官鬻爵
djsp 賣官鬻爵
dnrd 地脚
dnrp 地腳
kcjc 条案
njjc 條案
pksj 由此及彼
mwpd 垂愛
mwpd 垂爱
rhgy 幽情
mqtd 反詰
mqkd 反诘
bmkv 丟醜
rwml 丢丑
rwkv 丢醜
xtfd 鴻鵠之志
xtfd 鸿鹄之志
cqnm 奴化
jgdl 征塵
jgns 征尘
pvwm 电钮
kblm 電鈕
rvpm 白头翁
rfpm 白頭翁
qgwk 貼邊
hgrj 贴边
lwmf 太君
rnbl 皇历
rnbl 皇曆
flgp 桡骨
fdgp 橈骨
kffw 紫杉
kljt 各奔前程
wjcq 人生如夢
wjcf 人生如梦
pqxj 絕滅
pdxj 絶滅
mdfv 绝灭
nnwg 風俗人情
nnwg 风俗人情
bnbh 琐屑
bnbh 瑣屑
mfck 后娘
jxcg 後孃
dmtl 急智
tybu 閻羅王
vybu 阎罗王
cwbh 娥眉
phlt 分子式
ndkt 手到病除
lqxl 銀匠
wqxl 银匠
ypyv 青紗帳
ymyv 青纱帐
hflv 頂針
hfwv 顶针
qpqt 又紅又專
qmqv 又红又专
twgp 通亮
vvtp 十进制
vbtp 十進制
dkjx 久病成医
dkjx 久病成醫
rrnv 朋党
rrnv 朋黨
lycn 金刚怒目
lycn 金剛怒目
pxpn 細紗
mxmn 细纱
mcrl 順服
mcrl 顺服
ksvj 文以載道
ksvj 文以载道
mpfw 鳥槍
xpfw 鸟枪
sltj 喝問
slvj 喝问
wkvq 失節
wkql 失节
fbgp 枯骨
njhd 修持
mtff 合訂本
mkff 合订本
fqxl 横匾
fqxl 橫匾
rnmm 乐而忘返
rnmm 樂而忘返
nstw 保甲
ngnf 仁心仁术
ngnj 仁心仁術
pghv 邮船
mwhv 郵船
tntn 乘隙
hhjy 拉丁字母
xwvh 泛音
tdtv 詭詐
kdkv 诡诈
jbvx 神甫
yrtn 静穆
yrtn 靜穆
lvxg 暗沟
lvxq 暗溝
lrkb 顧主
blkb 顾主
cwfn 妇人之仁
cwfn 婦人之仁
rnhs 兜子
yqmr 蜡纸
ympr 蠟紙
jwsr 补遗
jwsr 補遺
skfq 吃不开
sktj 吃不開
sktj 喫不開
gmqv 心甘
rrnf 膘肥体壮
rrgy 膘肥體壯
lcjl 气窗
lcjl 氣窗
plrn 純然
mlrn 纯然
mnhj 垂手可得
vjrl 丧服
vsrl 喪服
dbyx 声母
dbyx 聲母
gdgx 就地正法
qwhv 茶盘
qwhv 茶盤
vhvc 乾笑
pxvc 干笑
sqhd 叨扰
sqhb 叨擾
kjhf 有案可查
hhbq 放下屠刀
hmfn 收录机
hlfx 收錄機
lfjw 适才
cjjw 適才
sbgm 唯心
tsfq 詞根
ksfq 词根
txpr 誆騙
kxjr 诓骗
mcfk 千恩万谢
mcqt 千恩萬謝
jbpy 官爵
sssh 呱呱叫
vhrd 韵脚
vhrp 韻腳
pnyv 紗帽
mnyv 纱帽
ljjv 大祸临头
ljxf 大禍臨頭
nsvd 光焰
qgdp 財勢
hghr 财势
rhrh 山峡
rhrh 山峽
xpyr 汗青
ythd 异教
xkhd 異教
thhf 輕捷
ghhf 轻捷
ddfd 冤冤相報
ddfh 冤冤相报
cptp 嫁雞隨雞
cqtq 嫁鸡随鸡
ccgj 禀性
ccgj 稟性
npsk 兴味
cysk 興味
jbgj 神聊
dncj 外姓
cmcr 恩重如山
cxrj 畜力
nwnv 瞳仁
tlgl 陈迹
tfyg 陳跡
kdhh 不甚了了
fljb 远祖
dsjb 遠祖
vcdi 烟土
vkdi 煙土
lftn 果穗
xqck 洪恩
jwxk 才思
nqtj 借問
nqvj 借问
hdfh 掎角之势
hdfd 掎角之勢
chsn 破折号
chsn 破折號
hyrf 排印
fmrf 蚕食鲸吞
xmwf 蠶食鯨吞
hnrq 老眼昏花
ssvs 以強凌弱
ssvs 以强凌弱
cjtj 旁門
cjvj 旁门
ckfl 圈椅
lvvf 鐵箱
wwvf 铁箱
qghr 貶抑
hghr 贬抑
psbh 狗吃屎
psbh 狗喫屎
lhhp 釘耙
whhp 钉耙
ntxl 信匯
ntxx 信汇
kkqh 不吝賜教
kkhh 不吝赐教
rnhf 白丁
qgvc 賠笑
hgvc 赔笑
hshv 孤舟
ndsg 拜別
ndsr 拜别
xbdm 泥垢
ndwr 任其自然
tlvj 阳间
tltj 陽間
vhcg 乾孃
pxck 干娘
clyx 姨母
jhgj 逆耳
vlls 黑糊糊
lvjl 鐘鼓
wsjl 钟鼓
ybvn 虚度年华
ybvq 虚度年華
ybvq 虛度年華
nxjh 風流才子
nxjh 风流才子
nvnf 常例
kgjv 斋饭
cjmv 齋飯
vkxy 凄清
gvxy 悽清
jnnr 宿仇
hfjs 頂事
hfjs 顶事
bkgv 废话连篇
bttv 廢話連篇
hjhs 掸子
hshs 撣子
msjt 遁入空門
msjv 遁入空门
ccvh 嫡亲
ccvh 嫡親
ltjl 七窍
ltjl 七竅
lvjh 暗害
nkso 住口
ffnj 一无所得
fvnj 一無所得
kdtm 春去秋來
kdtf 春去秋来
pxsl 細弱
mxsl 细弱
mckq 儿郎
cmkq 兒郎
mpns 鳥雀
xpns 鸟雀
rtpf 力透紙背
rtmf 力透纸背
flfh 无牵无挂
vcvh 無牽無掛
ldfl 日甚一日
sfsd 哭天喊地
qdlr 圣明
gjlr 聖明
njys 伴同
jqyj 寒蝉
jqys 寒蟬
tfkl 語病
kfkl 语病
pjxk 縱酒
mwxk 纵酒
tgqx 积习难改
tgqx 積習難改
slfl 弥天
slfl 彌天
fngm 亏心
ydgm 虧心
jsnw 总目
psnw 總目
lths 式子
wfyy 余毒
mvyy 餘毒
dsbl 士別三日
dsbl 士别三日
jqdu 寒士
fgnw 死心眼
gffc 登攀
jfkr 微末
kgjj 文宗
hhkl 振振有辞
hhkp 振振有辭
ssjb 书社
mfjb 書社
tnkf 秽语
tntf 穢語
vkrn 凄然
gvrn 悽然
vjch 燧石
lvdh 达斡尔族
dvfh 達斡爾族
jxfr 悬梁刺股
jffr 懸樑刺股
djhs 款子
rjjk 勝券
rjjk 胜券
khts 不可言喻
nmfd 貨棧
nmff 货栈
yvkt 刚直不阿
yvkt 剛直不阿
hktq 扯謊
hkkq 扯谎
npvk 兴头
cyfs 興頭
qgpx 苍翠欲滴
qgpx 蒼翠欲滴
vqxm 支派
jpya 益虫
jpyy 益蟲
fcdh 校勘
wglf 自变量
wtlf 自變量
wbsl 須彌
wksl 须弥
cwkw 杀人不见血
cwkw 殺人不見血
rhye 豐足
dnbh 外屋
jtqg 家賊
jthg 家贼
ddlt 争名夺利
pdlt 爭名奪利
fxkl 相思病
pjvc 狞笑
pjvc 獰笑
lqwj 日暮途穷
lqwj 日暮途窮
hrxl 搖盪
hpxl 摇盪
hpqx 摇荡
lsss 料器
bbpj 瑟縮
bbmj 瑟缩
kmck 雄图
kmck 雄圖
ttfs 誣賴
ktfs 诬赖
qgcy 敗興
hgnp 败兴
fxxl 画匠
mfxl 畫匠
prpd 駝絨
jrmd 驼绒
fdkv 死灰
qqkv 落花有意
vljq 烧瓶
vdjq 燒瓶
xkmd 涉世
qdfy 敗軍之將
hdff 败军之将
qgql 敬慕
gkkf 怀春
gckf 懷春
skfc 以身殉国
skfc 以身殉國
bjhh 古拙
jfhg 定则
jfqg 定則
lftn 量程
smwi 雅人
ryhd 九族
tnnp 乘兴
tncy 乘興
cfqc 玄之又玄
ywkw 面善
fmsm 板牙
ypgm 素心
vcxv 烟海
vkxv 煙海
lsym 粉蝶
ypla 素日
fsjb 逼視
fsjb 逼视
cptj 交誼
cpkj 交谊
wwgp 坐骨
jqpg 宽畅
jqpg 寬暢
rxxd 昏沉沉
qkqt 蒺藜
phfj 繩梯
msfj 绳梯
tfbn 語序
kfbn 语序
plpj 独断独行
pxpj 獨斷獨行
jgxq 悬梁
jgfx 懸樑
hwrs 柔肠
hwrl 柔腸
sfkl 哑谜
sftl 啞謎
tjcw 閒雜
vjry 闲杂
tytr 請功
kytr 请功
ntkw 信差
ckgh 圆熟
ckgh 圓熟
jwls 裱糊
ckpm 恩公
yfxf 罪恶滔天
yfxf 罪惡滔天
lgmv 釣餌
wgjv 钓饵
ggmt 惊疑
qgmt 驚疑
tdgj 詩聖
kdqd 诗圣
rfff 印本
yyps 青面獠牙
qqtc 黃花閨女
qqvc 黄花闺女
gwvh 连锅端
tlvh 連鍋端
cqjl 怒容
lrfm 扁桃
ctln 破除迷信
dcyh 外圆内方
dcyh 外圓內方
dcyh 外圓内方
wkry 我为鱼肉
wkwy 我為魚肉
wpwy 我爲魚肉
fdch 死硬
tmmf 选录
ytlp 選錄
wwpx 丛刊
jspx 叢刊
tvtk 計議
kvkk 计议
hhnv 拙作
qcjl 欢宴
qsjl 歡宴
lnjh 数目字
snjh 數目字
fphs 椽子
bjsc 胡吹
xhjh 测字
xqjh 測字
qnbl 莽原
fxjg 画具
mfjg 畫具
sshh 吹吹打打
ftfm 万物之灵
qtfk 萬物之靈
vhpy 朝綱
vhmy 朝纲
hkhs 愚不可及
fqbh 横眉
fqbh 橫眉
gpnb 骨朵
gpsk 骨朶
jlky 帘布
vbky 簾布
cncr 碍手碍脚
cncr 礙手礙腳
trbh 陡壁
tdkn 乘其不備
tdkk 乘其不备
bkdf 玉色
ycph 麻紡
ycmh 麻纺
mlcm 長舌婦
jlcm 长舌妇
wkpq 自絕
wkpd 自絶
wkmd 自绝
xlfx 水粉画
xlmf 水粉畫
xmgq 泄恨
xpgq 洩恨
bhvk 层云
bhkb 層雲
qnbl 花厅
qnbn 花廳
bnrf 底肥
vyqb 繁难
vyqf 繁難
frck 巴山夜雨
shvw 只可意会
shvw 只可意會
tnvs 私囊
fljl 一时半刻
fljl 一時半刻
hlhs 捅娄子
hshs 捅婁子
nfrj 体腔
gprj 體腔
pqnj 貧僧
pqnj 贫僧
cnpf 夜餐
wkqg 失敬
ckvk 恩准
tjyf 閻羅
vjyf 阎罗
gcvk 彤云
gckb 彤雲
lqyd 錯處
wqkc 错处
gfxv 耳根清净
gfxx 耳根清淨
ndhw 优柔
nbhw 優柔
ssvv 书简
mfvt 書簡
fmbn 板床
fmyy 板牀
qgpv 賭鬼
hgpv 赌鬼
gmsg 心曲
fxgh 画轴
mfth 畫軸
tytn 譯稿
kqtn 译稿
xgvh 滑音
tlvp 短笛
jpjg 审察
jwjg 審察
kkkb 有条有理
knkb 有條有理
qnrm 退走
phck 乳娘
phcg 乳孃
ycto 磨工
fqfd 横死
fqfd 橫死
jkfd 安身之地
ptch 紅磷
mtch 红磷
jdhw 临危授命
xdhw 臨危授命
tnxk 秧田
tnhs 稚子
kjks 存身
pcnk 繪圖儀
mcnk 绘图仪
bfhw 三天打魚
bfhr 三天打鱼
vlxl 炉温
vyxc 爐溫
sjsg 喧嚷
kjkp 不得善終
kjkm 不得善终
xrgh 渔轮
xwth 漁輪
ryjn 杂役
cwjn 雜役
ckty 回請
ckky 回请
qmwl 药罐
qrwl 藥罐
tnjg 閉目塞聽
vnjs 闭目塞听
grkw 怕羞
jvxr 成年累月
xktq 思謀
xkkq 思谋
hvky 出头露面
hfky 出頭露面
shvc 嗤笑
qmfr 药棉
qrfr 藥棉
vhnp 意兴
vhcy 意興
lvhd 暗探
dvtw 填鴨
dvtw 填鸭
vvvk 炎凉
vvxg 炎涼
wlds 仓颉
wkds 倉頡
rjvp 加官进爵
rjbp 加官進爵
vrlv 黯然銷魂
vrwv 黯然销魂
jbcn 神妙
pvfc 点头之交
vffc 點頭之交
ktvx 春秋笔法
ktvx 春秋筆法
rhxw 山頂洞人
rhxw 山顶洞人
pxyb 平輩
pxyb 平辈
nyjv 何足道哉
plff 犯禁
hfqd 挥之即去
hfqd 揮之即去
hfrd 揮之卽去
yrkv 青灰
tdkf 隐语
tptf 隱語
qjms 刀鞘
fbkl 枯瘦
nwtw 信息論
nwkw 信息论
gmjl 心窍
gmjl 心竅
cjbh 姘居
dfpv 色鬼
jbfn 禅机
jbfx 禪機
gbhf 哀歌
kcdw 文如其人
pmtp 公制
jfys 衙內
jfys 衙内
pltj 狼奔豕突
ltnt 奋勇当先
ltnt 奮勇當先
kfvf 蠢笨
dsyf 免罪
tjkb 悶雷
vjkb 闷雷
ttqh 劲草
fmqh 勁草
llvx 錫箔
wlvx 锡箔
wvxx 余音袅袅
mvcc 餘音嫋嫋
xrxr 涔涔
slvp 強辯
slvp 强辩
jctg 安謐
jckg 安谧
vvtn 營私
qdtn 营私
qgff 賭本
hgff 赌本
gpdf 愧色
jqfd 迸裂
gxnx 情深似海
hhtp 孺子牛
prhw 驕矜
jrhw 骄矜
xvjx 海兽
xvss 海獸
vcny 亲如手足
vcny 親如手足
xdsk 浑蛋
xdsk 渾蛋
tptf 誑語
kpkf 诳语
htnc 下車伊始
hgnc 下车伊始
tkxk 詳略
kkxk 详略
ptdp 紅熱
mthr 红热
bhdk 壁報
bhhl 壁报
vkls 凄迷
gvls 悽迷
dpnn 戎馬倥傯
djnn 戎马倥偬
nsfl 何患无辞
nsvp 何患無辭
fths 杠子
fths 槓子
xdxf 沉渣
jktw 宏論
jkkw 宏论
gwny 匆促
kqqb 良苦
vtnn 顛鸞倒鳳
vgnn 颠鸾倒凤
